timestamp,raw
2026-05-20T12:50:51,PM 1.0:3
2026-05-20T12:50:51,PM 2.5:5
2026-05-20T12:50:51,PM  10:5
2026-05-20T12:50:51,Particles > 0.3um / 0.1L air:425
2026-05-20T12:50:51,Particles > 0.5um / 0.1L air:357
2026-05-20T12:50:51,Particles > 1.0um / 0.1L air:54
2026-05-20T12:50:51,Particles > 2.5um / 0.1L air:6
2026-05-20T12:50:51,Particles > 5.0um / 0.1L air:0
2026-05-20T12:50:51,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:51:51,-----------------------------------------
2026-05-20T12:51:52,PM 1.0:3
2026-05-20T12:51:52,PM 2.5:6
2026-05-20T12:51:52,PM  10:6
2026-05-20T12:51:52,PM 1.0:3
2026-05-20T12:51:52,PM 2.5:6
2026-05-20T12:51:52,PM  10:6
2026-05-20T12:51:52,Particles > 0.3um / 0.1L air:430
2026-05-20T12:51:52,Particles > 0.5um / 0.1L air:350
2026-05-20T12:51:52,Particles > 1.0um / 0.1L air:82
2026-05-20T12:51:52,Particles > 2.5um / 0.1L air:2
2026-05-20T12:51:52,Particles > 5.0um / 0.1L air:2
2026-05-20T12:51:52,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:52:51,-----------------------------------------
2026-05-20T12:52:52,PM 1.0:3
2026-05-20T12:52:52,PM 2.5:6
2026-05-20T12:52:52,PM  10:6
2026-05-20T12:52:52,PM 1.0:3
2026-05-20T12:52:52,PM 2.5:6
2026-05-20T12:52:52,PM  10:6
2026-05-20T12:52:53,Particles > 0.3um / 0.1L air:420
2026-05-20T12:52:53,Particles > 0.5um / 0.1L air:350
2026-05-20T12:52:53,Particles > 1.0um / 0.1L air:77
2026-05-20T12:52:53,Particles > 2.5um / 0.1L air:4
2026-05-20T12:52:53,Particles > 5.0um / 0.1L air:2
2026-05-20T12:52:53,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:53:53,-----------------------------------------
2026-05-20T12:53:53,PM 1.0:2
2026-05-20T12:53:53,PM 2.5:6
2026-05-20T12:53:53,PM  10:6
2026-05-20T12:53:54,PM 1.0:2
2026-05-20T12:53:54,PM 2.5:6
2026-05-20T12:53:54,PM  10:6
2026-05-20T12:53:54,Particles > 0.3um / 0.1L air:494
2026-05-20T12:53:54,Particles > 0.5um / 0.1L air:394
2026-05-20T12:53:54,Particles > 1.0um / 0.1L air:82
2026-05-20T12:53:54,Particles > 2.5um / 0.1L air:2
2026-05-20T12:53:54,Particles > 5.0um / 0.1L air:0
2026-05-20T12:53:54,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:54:53,-----------------------------------------
2026-05-20T12:54:54,PM 1.0:3
2026-05-20T12:54:54,PM 2.5:6
2026-05-20T12:54:54,PM  10:6
2026-05-20T12:54:54,PM 1.0:3
2026-05-20T12:54:54,PM 2.5:6
2026-05-20T12:54:54,PM  10:6
2026-05-20T12:54:54,Particles > 0.3um / 0.1L air:533
2026-05-20T12:54:54,Particles > 0.5um / 0.1L air:428
2026-05-20T12:54:54,Particles > 1.0um / 0.1L air:84
2026-05-20T12:54:54,Particles > 2.5um / 0.1L air:2
2026-05-20T12:54:54,Particles > 5.0um / 0.1L air:0
2026-05-20T12:54:54,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:55:54,-----------------------------------------
2026-05-20T12:55:55,PM 1.0:3
2026-05-20T12:55:55,PM 2.5:5
2026-05-20T12:55:55,PM  10:5
2026-05-20T12:55:55,PM 1.0:3
2026-05-20T12:55:55,PM 2.5:5
2026-05-20T12:55:55,PM  10:5
2026-05-20T12:55:55,Particles > 0.3um / 0.1L air:394
2026-05-20T12:55:55,Particles > 0.5um / 0.1L air:330
2026-05-20T12:55:55,Particles > 1.0um / 0.1L air:49
2026-05-20T12:55:55,Particles > 2.5um / 0.1L air:4
2026-05-20T12:55:55,Particles > 5.0um / 0.1L air:0
2026-05-20T12:55:55,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:56:55,-----------------------------------------
2026-05-20T12:56:55,PM 1.0:3
2026-05-20T12:56:55,PM 2.5:5
2026-05-20T12:56:55,PM  10:5
2026-05-20T12:56:55,PM 1.0:3
2026-05-20T12:56:55,PM 2.5:5
2026-05-20T12:56:55,PM  10:5
2026-05-20T12:56:56,Particles > 0.3um / 0.1L air:412
2026-05-20T12:56:56,Particles > 0.5um / 0.1L air:345
2026-05-20T12:56:56,Particles > 1.0um / 0.1L air:51
2026-05-20T12:56:56,Particles > 2.5um / 0.1L air:4
2026-05-20T12:56:56,Particles > 5.0um / 0.1L air:0
2026-05-20T12:56:56,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:57:57,-----------------------------------------
2026-05-20T12:57:57,PM 1.0:2
2026-05-20T12:57:58,PM 2.5:5
2026-05-20T12:57:58,PM  10:6
2026-05-20T12:57:58,PM 1.0:2
2026-05-20T12:57:58,PM 2.5:5
2026-05-20T12:57:58,PM  10:6
2026-05-20T12:57:58,Particles > 0.3um / 0.1L air:434
2026-05-20T12:57:58,Particles > 0.5um / 0.1L air:377
2026-05-20T12:57:58,Particles > 1.0um / 0.1L air:67
2026-05-20T12:57:58,Particles > 2.5um / 0.1L air:10
2026-05-20T12:57:58,Particles > 5.0um / 0.1L air:2
2026-05-20T12:57:58,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:58:57,-----------------------------------------
2026-05-20T12:58:58,PM 1.0:2
2026-05-20T12:58:58,PM 2.5:6
2026-05-20T12:58:58,PM  10:6
2026-05-20T12:58:58,PM 1.0:2
2026-05-20T12:58:58,PM 2.5:6
2026-05-20T12:58:58,PM  10:6
2026-05-20T12:58:58,Particles > 0.3um / 0.1L air:444
2026-05-20T12:58:58,Particles > 0.5um / 0.1L air:385
